food_code,name,group,kcal,protein_g,fat_g,satfat_g,carbs_g,sugars_g,fibre_g,salt_g
13-145,"Ackee, canned, drained",DG,151,2.9,15.2,0.0,0.8,0.8,0.0,0.6
13-146,"Agar, dried",DG,16,1.3,1.2,0.3,0.0,0.0,81.1,0.275
13-147,"Agar, dried, soaked and drained",DG,2,0.2,0.1,0.0,0.0,0.0,15.0,0.025
13-148,"Alfalfa sprouts, raw",DG,24,4.0,0.7,0.0,0.4,0.3,1.7,0.015
13-801,"Allspice, ground",H,0,6.1,8.7,2.5,0.0,0.0,0.0,0.192
14-870,"Almonds, flaked and ground",GA,612,21.1,55.8,4.43,6.9,4.2,7.4,0.035
14-897,"Almonds, toasted",GA,579,21.0,52.5,4.09,5.9,5.1,10.9,0.008
14-898,"Almonds, weighed with shells",GA,205,7.8,18.5,1.41,1.9,1.6,4.6,0.0
14-896,"Almonds, whole kernels",GA,554,21.2,49.9,3.8,5.3,4.5,12.5,0.002
13-150,"Amaranth leaves, boiled in unsalted water",DG,16,3.0,0.3,0.1,0.3,0.2,0.0,0.028
13-149,"Amaranth leaves, raw",DG,18,3.5,0.3,0.1,0.3,0.2,0.0,0.032
14-001,Amla,FA,58,0.5,0.1,0.0,13.7,0.0,0.0,0.012
16-448,"Anchovies, canned in oil, drained",JC,191,25.2,10.0,1.6,0.0,0.0,0.0,14.675
13-802,Anise seeds,H,0,17.6,15.9,2.3,0.0,0.0,0.0,0.04
14-272,"Apple juice concentrate, unsweetened, commerical",PE,223,0.5,0.6,0.1,57.6,57.6,0.0,0.028
14-331,"Apple juice, clear, ambient and chilled",FC,37,0.1,0.0,0.0,9.7,9.7,0.0,0.008
17-851,"Apple sauce, homemade",WC,79,0.3,0.2,0.05,20.2,20.2,1.4,0.005
14-344,"Apples, cooking, baked with sugar, flesh only",FA,69,0.2,0.4,0.07,17.1,17.1,1.9,0.002
14-345,"Apples, cooking, baked with sugar, flesh only, weighed with skin",FA,57,0.2,0.3,0.06,14.3,14.3,1.6,0.002
14-342,"Apples, cooking, baked without sugar, flesh only",FA,47,0.2,0.4,0.07,11.4,11.4,2.0,0.002
14-343,"Apples, cooking, baked without sugar, flesh only, weighed with skin",FA,40,0.2,0.3,0.06,9.6,9.6,1.7,0.002
14-362,"Apples, cooking, raw, flesh only, peeled",F,37,0.3,0.3,0.06,8.9,8.9,1.7,0.005
14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,27,0.2,0.2,0.04,6.5,6.4,1.2,0.002
14-332,"Apples, cooking, stewed with sugar, flesh only",FA,81,0.2,0.3,0.06,20.8,20.8,1.4,0.002
14-320,"Apples, cooking, stewed without sugar, flesh only",FA,40,0.2,0.3,0.06,9.7,9.7,1.7,0.002
14-016,"Apples, eating, dried",FA,238,2.0,0.5,0.1,60.1,60.1,9.7,0.04
14-319,"Apples, eating, raw, flesh and skin",FA,51,0.6,0.5,0.12,11.6,11.6,1.2,0.002
